date,state,zone,total_visitors_nights
1998-01-01,NSW,Metro,9047.095396900002
1998-04-01,NSW,Metro,6962.125889800001
1998-07-01,NSW,Metro,6871.9630475
1998-10-01,NSW,Metro,7147.292611599999
1999-01-01,NSW,Metro,7956.922814299999
1999-04-01,NSW,Metro,6542.243263099999
1999-07-01,NSW,Metro,6330.364078400001
1999-10-01,NSW,Metro,7509.21219
2000-01-01,NSW,Metro,7662.4905024
2000-04-01,NSW,Metro,6341.801885
2000-07-01,NSW,Metro,7827.300649
2000-10-01,NSW,Metro,9579.562225900001
2001-01-01,NSW,Metro,8270.488389199998
2001-04-01,NSW,Metro,7240.4266339999995
2001-07-01,NSW,Metro,6640.4896461
2001-10-01,NSW,Metro,7111.874778300001
2002-01-01,NSW,Metro,6827.825709600001
2002-04-01,NSW,Metro,6404.992035199999
2002-07-01,NSW,Metro,6615.7601335
2002-10-01,NSW,Metro,7226.3764749
2003-01-01,NSW,Metro,7589.0582523
2003-04-01,NSW,Metro,6334.5271859
2003-07-01,NSW,Metro,5996.7475196000005
2003-10-01,NSW,Metro,6612.8461652999995
2004-01-01,NSW,Metro,7758.2674934
2004-04-01,NSW,Metro,6778.8356463
2004-07-01,NSW,Metro,5854.4516077
2004-10-01,NSW,Metro,6200.2138271
2005-01-01,NSW,Metro,7163.8299153
2005-04-01,NSW,Metro,5082.203579399999
2005-07-01,NSW,Metro,5673.551354700001
2005-10-01,NSW,Metro,6089.9058008
2006-01-01,NSW,Metro,8525.915573999999
2006-04-01,NSW,Metro,6569.684437999999
2006-07-01,NSW,Metro,5771.059327999999
2006-10-01,NSW,Metro,6692.897342
2007-01-01,NSW,Metro,8158.657532499999
2007-04-01,NSW,Metro,5710.0824346
2007-07-01,NSW,Metro,5402.5429286
2007-10-01,NSW,Metro,6803.493700000001
2008-01-01,NSW,Metro,7866.269299400001
2008-04-01,NSW,Metro,5616.7038446999995
2008-07-01,NSW,Metro,5886.763960700001
2008-10-01,NSW,Metro,5506.2984750000005
2009-01-01,NSW,Metro,6787.2254196
2009-04-01,NSW,Metro,5361.3172195
2009-07-01,NSW,Metro,4699.3495426
2009-10-01,NSW,Metro,6208.7840697
2010-01-01,NSW,Metro,7148.262201799999
2010-04-01,NSW,Metro,4850.2174843
2010-07-01,NSW,Metro,6029.4895211
2010-10-01,NSW,Metro,6238.902535
2011-01-01,NSW,Metro,7597.4675006
2011-04-01,NSW,Metro,5815.929591499999
2011-07-01,NSW,Metro,6183.2387665999995
2011-10-01,NSW,Metro,5929.0301327
2012-01-01,NSW,Metro,7986.9310625
2012-04-01,NSW,Metro,5307.8709729
2012-07-01,NSW,Metro,6054.1116938000005
2012-10-01,NSW,Metro,6023.8968728
2013-01-01,NSW,Metro,7028.4801216999995
2013-04-01,NSW,Metro,5813.4500297
2013-07-01,NSW,Metro,6322.8414263
2013-10-01,NSW,Metro,7101.6905301
2014-01-01,NSW,Metro,7897.3159874
2014-04-01,NSW,Metro,5997.467556799999
2014-07-01,NSW,Metro,6033.5328619
2014-10-01,NSW,Metro,7103.3975236
2015-01-01,NSW,Metro,8725.131620900002
2015-04-01,NSW,Metro,6995.8746449
2015-07-01,NSW,Metro,6294.489763
2015-10-01,NSW,Metro,6945.4763385999995
2016-01-01,NSW,Metro,7373.7573472
2016-04-01,NSW,Metro,6792.2336825
2016-07-01,NSW,Metro,6530.5680256
2016-10-01,NSW,Metro,7878.2768422
1998-01-01,NSW,NthCo,8565.6778903
1998-04-01,NSW,NthCo,7124.4683616
1998-07-01,NSW,NthCo,4716.8931164
1998-10-01,NSW,NthCo,6269.2990649
1999-01-01,NSW,NthCo,9493.901336
1999-04-01,NSW,NthCo,5401.201389400001
1999-07-01,NSW,NthCo,5542.6258237
1999-10-01,NSW,NthCo,6383.4736317
2000-01-01,NSW,NthCo,8337.0080096
2000-04-01,NSW,NthCo,4923.4761714
2000-07-01,NSW,NthCo,5134.4912284
2000-10-01,NSW,NthCo,6389.8878082
2001-01-01,NSW,NthCo,8259.3983426
2001-04-01,NSW,NthCo,5442.668817899999
2001-07-01,NSW,NthCo,5767.4281126000005
2001-10-01,NSW,NthCo,5611.9100746
2002-01-01,NSW,NthCo,9504.84267
2002-04-01,NSW,NthCo,6032.5248872
2002-07-01,NSW,NthCo,5824.0364124
2002-10-01,NSW,NthCo,6521.765428
2003-01-01,NSW,NthCo,8985.047892100001
2003-04-01,NSW,NthCo,5586.26359
2003-07-01,NSW,NthCo,5458.092111900001
2003-10-01,NSW,NthCo,6451.381762000001
2004-01-01,NSW,NthCo,8562.4033888
2004-04-01,NSW,NthCo,5769.0524682000005
2004-07-01,NSW,NthCo,5436.7937642
2004-10-01,NSW,NthCo,5997.55024
2005-01-01,NSW,NthCo,8561.084413499999
2005-04-01,NSW,NthCo,5177.7180905
2005-07-01,NSW,NthCo,5061.6275233
2005-10-01,NSW,NthCo,5131.7934906
2006-01-01,NSW,NthCo,7948.298965
2006-04-01,NSW,NthCo,6220.572149
2006-07-01,NSW,NthCo,5720.923247999999
2006-10-01,NSW,NthCo,5861.450471
2007-01-01,NSW,NthCo,8492.9110516
2007-04-01,NSW,NthCo,5638.5429601
2007-07-01,NSW,NthCo,5206.9026449
2007-10-01,NSW,NthCo,6495.8672811999995
2008-01-01,NSW,NthCo,8859.705052000001
2008-04-01,NSW,NthCo,5169.616492699999
2008-07-01,NSW,NthCo,4677.3354324
2008-10-01,NSW,NthCo,6063.1736447
2009-01-01,NSW,NthCo,8396.0698536
2009-04-01,NSW,NthCo,4701.395533100001
2009-07-01,NSW,NthCo,4702.0307055
2009-10-01,NSW,NthCo,6590.312614
2010-01-01,NSW,NthCo,7674.929890099999
2010-04-01,NSW,NthCo,4886.1404891
2010-07-01,NSW,NthCo,5601.4507478
2010-10-01,NSW,NthCo,5681.885340499999
2011-01-01,NSW,NthCo,8297.531605799999
2011-04-01,NSW,NthCo,6003.609339600001
2011-07-01,NSW,NthCo,5043.0165599
2011-10-01,NSW,NthCo,6141.692394500001
2012-01-01,NSW,NthCo,8230.6579564
2012-04-01,NSW,NthCo,5215.3094043
2012-07-01,NSW,NthCo,5680.5821000999995
2012-10-01,NSW,NthCo,6818.512993200001
2013-01-01,NSW,NthCo,7764.269932300001
2013-04-01,NSW,NthCo,5272.6028288
2013-07-01,NSW,NthCo,5254.3575449
2013-10-01,NSW,NthCo,6521.979120599999
2014-01-01,NSW,NthCo,8563.474331200001
2014-04-01,NSW,NthCo,6005.9107861
2014-07-01,NSW,NthCo,5846.8729335
2014-10-01,NSW,NthCo,5790.2886435
2015-01-01,NSW,NthCo,7875.725058200001
2015-04-01,NSW,NthCo,6021.249171
2015-07-01,NSW,NthCo,5486.4287051
2015-10-01,NSW,NthCo,6818.165173300001
2016-01-01,NSW,NthCo,9945.415088200001
2016-04-01,NSW,NthCo,6664.099360499999
2016-07-01,NSW,NthCo,5978.4578276
2016-10-01,NSW,NthCo,7362.0449339
1998-01-01,NSW,SthCo,5818.028804
1998-04-01,NSW,SthCo,2466.4367059
1998-07-01,NSW,SthCo,1928.0528335
1998-10-01,NSW,SthCo,2797.5559735
1999-01-01,NSW,SthCo,4853.6806796
1999-04-01,NSW,SthCo,2759.843103
1999-07-01,NSW,SthCo,2041.8266248
1999-10-01,NSW,SthCo,2650.6772206
2000-01-01,NSW,SthCo,5367.951355
2000-04-01,NSW,SthCo,3460.7945337
2000-07-01,NSW,SthCo,1606.1728533
2000-10-01,NSW,SthCo,2563.2538883
2001-01-01,NSW,SthCo,4913.8456938
2001-04-01,NSW,SthCo,3143.754048
2001-07-01,NSW,SthCo,1776.0689650999998
2001-10-01,NSW,SthCo,2437.9883115
2002-01-01,NSW,SthCo,4503.6775622000005
2002-04-01,NSW,SthCo,2738.9893225
2002-07-01,NSW,SthCo,2597.074341
2002-10-01,NSW,SthCo,3036.1038506
2003-01-01,NSW,SthCo,5347.3485696
2003-04-01,NSW,SthCo,2468.4390207
2003-07-01,NSW,SthCo,1839.5350605
2003-10-01,NSW,SthCo,2790.800558
2004-01-01,NSW,SthCo,5079.241473
2004-04-01,NSW,SthCo,2218.5871578
2004-07-01,NSW,SthCo,1974.1401055000001
2004-10-01,NSW,SthCo,2447.3963381
2005-01-01,NSW,SthCo,5113.6888234
2005-04-01,NSW,SthCo,1848.1871164
2005-07-01,NSW,SthCo,1741.6601928999999
2005-10-01,NSW,SthCo,2348.0972056
2006-01-01,NSW,SthCo,5067.586034999999
2006-04-01,NSW,SthCo,2359.089016
2006-07-01,NSW,SthCo,1799.0493430000001
2006-10-01,NSW,SthCo,2705.538984
2007-01-01,NSW,SthCo,4059.2279919000002
2007-04-01,NSW,SthCo,2422.2432441
2007-07-01,NSW,SthCo,1571.9162790999999
2007-10-01,NSW,SthCo,2123.5891187
2008-01-01,NSW,SthCo,5057.9949977999995
2008-04-01,NSW,SthCo,2225.727241
2008-07-01,NSW,SthCo,1688.6075339
2008-10-01,NSW,SthCo,2551.0461768
2009-01-01,NSW,SthCo,4642.8893396
2009-04-01,NSW,SthCo,2122.6352331
2009-07-01,NSW,SthCo,1260.8963537
2009-10-01,NSW,SthCo,2394.690798
2010-01-01,NSW,SthCo,4638.2318937
2010-04-01,NSW,SthCo,1869.8049694000001
2010-07-01,NSW,SthCo,1585.7820635
2010-10-01,NSW,SthCo,2287.8081107
2011-01-01,NSW,SthCo,4553.495719
2011-04-01,NSW,SthCo,2210.6994555
2011-07-01,NSW,SthCo,1971.8814369
2011-10-01,NSW,SthCo,1990.5918266999997
2012-01-01,NSW,SthCo,4547.8329954
2012-04-01,NSW,SthCo,2216.2563297999995
2012-07-01,NSW,SthCo,1463.5971793
2012-10-01,NSW,SthCo,2303.3887414
2013-01-01,NSW,SthCo,5027.767337300001
2013-04-01,NSW,SthCo,2331.8583286000003
2013-07-01,NSW,SthCo,2027.8621661000002
2013-10-01,NSW,SthCo,2769.2486992000004
2014-01-01,NSW,SthCo,4209.300459200001
2014-04-01,NSW,SthCo,2400.4955828
2014-07-01,NSW,SthCo,1662.3378486000001
2014-10-01,NSW,SthCo,2831.3549748
2015-01-01,NSW,SthCo,4811.7832296
2015-04-01,NSW,SthCo,2766.1029166000003
2015-07-01,NSW,SthCo,2097.5442688999997
2015-10-01,NSW,SthCo,2561.4404583000005
2016-01-01,NSW,SthCo,4789.1942037
2016-04-01,NSW,SthCo,2320.2285337
2016-07-01,NSW,SthCo,1651.0912337999998
2016-10-01,NSW,SthCo,2713.2102649999997
1998-01-01,NSW,SthIn,2679.5379629
1998-04-01,NSW,SthIn,3010.7321547
1998-07-01,NSW,SthIn,3328.8690045
1998-10-01,NSW,SthIn,2417.7722355
1999-01-01,NSW,SthIn,3224.2854282
1999-04-01,NSW,SthIn,2428.4890379999997
1999-07-01,NSW,SthIn,2893.2734816
1999-10-01,NSW,SthIn,2814.5780169
2000-01-01,NSW,SthIn,2553.0720615
2000-04-01,NSW,SthIn,2368.2105895
2000-07-01,NSW,SthIn,2934.8929747
2000-10-01,NSW,SthIn,2561.2722261999997
2001-01-01,NSW,SthIn,2378.1075895999998
2001-04-01,NSW,SthIn,2881.2883039
2001-07-01,NSW,SthIn,2470.9182833
2001-10-01,NSW,SthIn,2508.2590693
2002-01-01,NSW,SthIn,2539.1493241999997
2002-04-01,NSW,SthIn,2325.2628477
2002-07-01,NSW,SthIn,3618.0771256999997
2002-10-01,NSW,SthIn,2556.5700283000006
2003-01-01,NSW,SthIn,2645.3023789
2003-04-01,NSW,SthIn,2613.1923596
2003-07-01,NSW,SthIn,3028.6057679
2003-10-01,NSW,SthIn,2592.1560951
2004-01-01,NSW,SthIn,2641.145989
2004-04-01,NSW,SthIn,2277.1375542
2004-07-01,NSW,SthIn,3065.0549279
2004-10-01,NSW,SthIn,2919.3186669
2005-01-01,NSW,SthIn,3308.8726539
2005-04-01,NSW,SthIn,2683.1265456
2005-07-01,NSW,SthIn,2680.0404700999998
2005-10-01,NSW,SthIn,1769.9479818999998
2006-01-01,NSW,SthIn,2452.970974
2006-04-01,NSW,SthIn,2177.67174
2006-07-01,NSW,SthIn,2776.814372
2006-10-01,NSW,SthIn,1963.298024
2007-01-01,NSW,SthIn,2490.4560947
2007-04-01,NSW,SthIn,2499.1545484
2007-07-01,NSW,SthIn,2554.7025813
2007-10-01,NSW,SthIn,2256.9786182
2008-01-01,NSW,SthIn,2485.8709225999996
2008-04-01,NSW,SthIn,1961.5350424000003
2008-07-01,NSW,SthIn,2429.2341715000002
2008-10-01,NSW,SthIn,2567.8505883000003
2009-01-01,NSW,SthIn,2036.5386506999998
2009-04-01,NSW,SthIn,1992.1290531
2009-07-01,NSW,SthIn,2967.0964351
2009-10-01,NSW,SthIn,2272.5636849
2010-01-01,NSW,SthIn,2170.5571101
2010-04-01,NSW,SthIn,2141.0730501
2010-07-01,NSW,SthIn,3328.2496982000002
2010-10-01,NSW,SthIn,2302.1432629
2011-01-01,NSW,SthIn,2222.2617583
2011-04-01,NSW,SthIn,2087.4703124000002
2011-07-01,NSW,SthIn,3367.9050723
2011-10-01,NSW,SthIn,2167.2175206
2012-01-01,NSW,SthIn,2096.2836494999997
2012-04-01,NSW,SthIn,2321.9558624
2012-07-01,NSW,SthIn,2534.7282122
2012-10-01,NSW,SthIn,2424.8361161000003
2013-01-01,NSW,SthIn,2956.5868646
2013-04-01,NSW,SthIn,2238.8514081
2013-07-01,NSW,SthIn,2711.3736670999997
2013-10-01,NSW,SthIn,2329.3020431000004
2014-01-01,NSW,SthIn,2731.1911394999997
2014-04-01,NSW,SthIn,2685.6321537999997
2014-07-01,NSW,SthIn,2896.2982354
2014-10-01,NSW,SthIn,2400.5822718000004
2015-01-01,NSW,SthIn,2459.8219704
2015-04-01,NSW,SthIn,2210.9626289
2015-07-01,NSW,SthIn,3079.7256992000002
2015-10-01,NSW,SthIn,2630.8741812
2016-01-01,NSW,SthIn,2767.8529688
2016-04-01,NSW,SthIn,2691.3646789
2016-07-01,NSW,SthIn,3269.5653975
2016-10-01,NSW,SthIn,2739.3918013
1998-01-01,NSW,NthIn,2977.5066618
1998-04-01,NSW,NthIn,3477.7027168
1998-07-01,NSW,NthIn,3014.7703306999997
1998-10-01,NSW,NthIn,3757.972112
1999-01-01,NSW,NthIn,3790.7599001999997
1999-04-01,NSW,NthIn,3395.2839388
1999-07-01,NSW,NthIn,3626.1200939
1999-10-01,NSW,NthIn,3691.4980271
2000-01-01,NSW,NthIn,3135.8340131
2000-04-01,NSW,NthIn,2824.6040466000004
2000-07-01,NSW,NthIn,3390.6751543
2000-10-01,NSW,NthIn,2946.215151
2001-01-01,NSW,NthIn,3117.0188359
2001-04-01,NSW,NthIn,2967.4602041000003
2001-07-01,NSW,NthIn,3111.2544233999997
2001-10-01,NSW,NthIn,2778.671178
2002-01-01,NSW,NthIn,3246.0549461
2002-04-01,NSW,NthIn,3182.4639957
2002-07-01,NSW,NthIn,3550.7220564
2002-10-01,NSW,NthIn,3654.7100698
2003-01-01,NSW,NthIn,2530.0925019
2003-04-01,NSW,NthIn,3022.6127843
2003-07-01,NSW,NthIn,3138.2558479
2003-10-01,NSW,NthIn,2748.9808657999997
2004-01-01,NSW,NthIn,3113.5903744
2004-04-01,NSW,NthIn,3441.8461929000005
2004-07-01,NSW,NthIn,3361.8045900999996
2004-10-01,NSW,NthIn,3927.4077527
2005-01-01,NSW,NthIn,3760.0088364
2005-04-01,NSW,NthIn,2866.9399567
2005-07-01,NSW,NthIn,3101.6098392
2005-10-01,NSW,NthIn,2832.2971412999996
2006-01-01,NSW,NthIn,2986.3505360000004
2006-04-01,NSW,NthIn,2849.45493
2006-07-01,NSW,NthIn,2925.7072470000003
2006-10-01,NSW,NthIn,2885.6460469999997
2007-01-01,NSW,NthIn,3101.6742586
2007-04-01,NSW,NthIn,3334.8225860000002
2007-07-01,NSW,NthIn,2822.1557320999996
2007-10-01,NSW,NthIn,2665.5082138
2008-01-01,NSW,NthIn,3282.4560455
2008-04-01,NSW,NthIn,2944.4948212000004
2008-07-01,NSW,NthIn,2772.6931196
2008-10-01,NSW,NthIn,2892.7270796
2009-01-01,NSW,NthIn,2631.521285
2009-04-01,NSW,NthIn,2649.3920161
2009-07-01,NSW,NthIn,2860.4497357
2009-10-01,NSW,NthIn,2706.9879751999997
2010-01-01,NSW,NthIn,2695.9454197
2010-04-01,NSW,NthIn,3208.0419405000002
2010-07-01,NSW,NthIn,2828.1163775
2010-10-01,NSW,NthIn,2621.6497601
2011-01-01,NSW,NthIn,2528.3720409
2011-04-01,NSW,NthIn,3003.4454287
2011-07-01,NSW,NthIn,2932.6568968
2011-10-01,NSW,NthIn,2840.0028582
2012-01-01,NSW,NthIn,2863.1534243
2012-04-01,NSW,NthIn,3344.9713651999996
2012-07-01,NSW,NthIn,2833.9606021
2012-10-01,NSW,NthIn,3255.8814566
2013-01-01,NSW,NthIn,3443.1752167000004
2013-04-01,NSW,NthIn,2951.8076474
2013-07-01,NSW,NthIn,2830.8045767999997
2013-10-01,NSW,NthIn,2602.0722877
2014-01-01,NSW,NthIn,2581.9996133000004
2014-04-01,NSW,NthIn,2868.704147
2014-07-01,NSW,NthIn,2948.0541310000003
2014-10-01,NSW,NthIn,3754.8553579000004
2015-01-01,NSW,NthIn,2718.8231247
2015-04-01,NSW,NthIn,3445.1206746
2015-07-01,NSW,NthIn,2877.6987026999996
2015-10-01,NSW,NthIn,3776.0766923
2016-01-01,NSW,NthIn,2871.3755134
2016-04-01,NSW,NthIn,3928.4621831
2016-07-01,NSW,NthIn,3514.4310073
2016-10-01,NSW,NthIn,3490.7209024
1998-01-01,QLD,Metro,12106.0523764
1998-04-01,QLD,Metro,7786.6866879
1998-07-01,QLD,Metro,11380.023616199998
1998-10-01,QLD,Metro,9311.460271599999
1999-01-01,QLD,Metro,12671.941529200001
1999-04-01,QLD,Metro,9582.96509
1999-07-01,QLD,Metro,11192.968748599998
1999-10-01,QLD,Metro,9871.108251799998
2000-01-01,QLD,Metro,11709.8513463
2000-04-01,QLD,Metro,9357.776527900001
2000-07-01,QLD,Metro,11363.5328363
2000-10-01,QLD,Metro,9923.9230074
2001-01-01,QLD,Metro,11281.072391099999
2001-04-01,QLD,Metro,8812.2947344
2001-07-01,QLD,Metro,11639.739210999998
2001-10-01,QLD,Metro,11172.068576500002
2002-01-01,QLD,Metro,12252.613131199998
2002-04-01,QLD,Metro,8556.3812608
2002-07-01,QLD,Metro,11348.9670231
2002-10-01,QLD,Metro,11991.5508409
2003-01-01,QLD,Metro,14289.795605999998
2003-04-01,QLD,Metro,9895.2403005
2003-07-01,QLD,Metro,11397.57768
2003-10-01,QLD,Metro,11109.9624851
2004-01-01,QLD,Metro,12123.8981096
2004-04-01,QLD,Metro,9349.8661243
2004-07-01,QLD,Metro,12824.609107999999
2004-10-01,QLD,Metro,11582.087480799999
2005-01-01,QLD,Metro,13500.3660741
2005-04-01,QLD,Metro,9127.8899756
2005-07-01,QLD,Metro,11431.8199174
2005-10-01,QLD,Metro,10206.2294845
2006-01-01,QLD,Metro,12222.344160999999
2006-04-01,QLD,Metro,9169.504254
2006-07-01,QLD,Metro,9679.279752999999
2006-10-01,QLD,Metro,11232.030509999999
2007-01-01,QLD,Metro,12033.161785199998
2007-04-01,QLD,Metro,10433.648850700001
2007-07-01,QLD,Metro,11253.4748995
2007-10-01,QLD,Metro,10822.1469868
2008-01-01,QLD,Metro,13527.1438943
2008-04-01,QLD,Metro,8666.2277162
2008-07-01,QLD,Metro,9967.416605100001
2008-10-01,QLD,Metro,10624.9074287
2009-01-01,QLD,Metro,11258.639071700001
2009-04-01,QLD,Metro,7933.4052538000005
2009-07-01,QLD,Metro,10657.4852247
2009-10-01,QLD,Metro,9670.8478343
2010-01-01,QLD,Metro,10336.859437399999
2010-04-01,QLD,Metro,8177.679383400001
2010-07-01,QLD,Metro,10732.391716400001
2010-10-01,QLD,Metro,10955.047539700001
2011-01-01,QLD,Metro,9049.7876471
2011-04-01,QLD,Metro,9887.558998200002
2011-07-01,QLD,Metro,10161.815387899998
2011-10-01,QLD,Metro,10347.0543127
2012-01-01,QLD,Metro,10951.402393499999
2012-04-01,QLD,Metro,8251.7784478
2012-07-01,QLD,Metro,10173.2886877
2012-10-01,QLD,Metro,10906.527280299999
2013-01-01,QLD,Metro,12156.350614
2013-04-01,QLD,Metro,7891.8499383
2013-07-01,QLD,Metro,9486.0966561
2013-10-01,QLD,Metro,10602.6013219
2014-01-01,QLD,Metro,11460.220795
2014-04-01,QLD,Metro,9786.0740077
2014-07-01,QLD,Metro,10058.6381536
2014-10-01,QLD,Metro,10315.2962172
2015-01-01,QLD,Metro,11568.8238798
2015-04-01,QLD,Metro,9337.8208152
2015-07-01,QLD,Metro,10740.805761700001
2015-10-01,QLD,Metro,10300.9249521
2016-01-01,QLD,Metro,11875.1986164
2016-04-01,QLD,Metro,9058.698059600001
2016-07-01,QLD,Metro,11236.115195800001
2016-10-01,QLD,Metro,12057.7187158
1998-01-01,QLD,Cntrl,2748.3736888999997
1998-04-01,QLD,Cntrl,4040.9152564
1998-07-01,QLD,Cntrl,5343.9643467
1998-10-01,QLD,Cntrl,4260.4188782
1999-01-01,QLD,Cntrl,4186.1132625
1999-04-01,QLD,Cntrl,4237.8064976000005
1999-07-01,QLD,Cntrl,6414.5993729
1999-10-01,QLD,Cntrl,3710.4976825
2000-01-01,QLD,Cntrl,3800.1439656999996
2000-04-01,QLD,Cntrl,4182.8551827
2000-07-01,QLD,Cntrl,4173.0562468
2000-10-01,QLD,Cntrl,4192.214661100001
2001-01-01,QLD,Cntrl,3781.164254
2001-04-01,QLD,Cntrl,5061.5893165
2001-07-01,QLD,Cntrl,5086.3590537
2001-10-01,QLD,Cntrl,4217.2687927
2002-01-01,QLD,Cntrl,4405.2659453
2002-04-01,QLD,Cntrl,3262.6108187000004
2002-07-01,QLD,Cntrl,6493.2431975
2002-10-01,QLD,Cntrl,4357.7796769
2003-01-01,QLD,Cntrl,3259.3485406
2003-04-01,QLD,Cntrl,3810.4706951999997
2003-07-01,QLD,Cntrl,6107.851018400001
2003-10-01,QLD,Cntrl,3873.5707217000004
2004-01-01,QLD,Cntrl,3699.6486118000003
2004-04-01,QLD,Cntrl,3579.116281
2004-07-01,QLD,Cntrl,6646.7322551
2004-10-01,QLD,Cntrl,4212.6999987
2005-01-01,QLD,Cntrl,3735.9891957
2005-04-01,QLD,Cntrl,3601.7791954000004
2005-07-01,QLD,Cntrl,5066.490206
2005-10-01,QLD,Cntrl,3882.8388331
2006-01-01,QLD,Cntrl,3613.018397
2006-04-01,QLD,Cntrl,4190.8520229999995
2006-07-01,QLD,Cntrl,5250.045749
2006-10-01,QLD,Cntrl,4750.231229999999
2007-01-01,QLD,Cntrl,5062.771135200001
2007-04-01,QLD,Cntrl,4106.5546061000005
2007-07-01,QLD,Cntrl,5486.012592100001
2007-10-01,QLD,Cntrl,4209.0968718
2008-01-01,QLD,Cntrl,4714.5125325
2008-04-01,QLD,Cntrl,3887.7005295999998
2008-07-01,QLD,Cntrl,5539.0606045
2008-10-01,QLD,Cntrl,3657.0362087000003
2009-01-01,QLD,Cntrl,3905.549348
2009-04-01,QLD,Cntrl,4037.6314921
2009-07-01,QLD,Cntrl,5998.090771499999
